CbWHA1_10.1.p1	CFAC1_160030700.1-p1	1053
CbWHA1_100.1.p1	CFAC1_160017800.1-p1	721
CbWHA1_1000.1.p1	CFAC1_300048100.1-p1	1373
CbWHA1_1001.1.p1	CFAC1_300048200.1-p1	768
CbWHA1_1003.1.p1	CFAC1_300048400.1-p1	1326
CbWHA1_1004.1.p1	CFAC1_300048500.1-p1	496
CbWHA1_1006.1.p1	CFAC1_300048800.1-p1	253
CbWHA1_1007.1.p1	CFAC1_300049700.1-p1	202
CbWHA1_1008.1.p1	CFAC1_300048900.1-p1	1874
CbWHA1_1011.1.p1	CFAC1_300049300.1-p1	321
CbWHA1_1012.1.p1	CFAC1_300049500.1-p1	826
CbWHA1_1013.1.p1	CFAC1_300049600.1-p1	274
CbWHA1_1014.1.p1	CFAC1_300049800.1-p1	155
CbWHA1_1016.1.p1	CFAC1_300050000.1-p1	615
CbWHA1_1017.1.p1	CFAC1_300050100.1-p1	377
CbWHA1_1019.1.p1	CFAC1_300050700.1-p1	286
CbWHA1_102.1.p1	CFAC1_290027500.1-p1	533
CbWHA1_1020.1.p1	CFAC1_300050900.1-p1	494
CbWHA1_1021.1.p1	CFAC1_300051000.1-p1	524
CbWHA1_1022.1.p1	CFAC1_300051100.1-p1	368
CbWHA1_1023.1.p1	CFAC1_300051200.1-p1	348
CbWHA1_1025.1.p1	CFAC1_300051400.1-p1	82.8
CbWHA1_1026.1.p1	CFAC1_300051600.1-p1	943
CbWHA1_1027.1.p1	CFAC1_300051700.1-p1	330
CbWHA1_1028.1.p1	CFAC1_300051800.1-p1	162
CbWHA1_1030.1.p1	CFAC1_300052000.1-p1	597
CbWHA1_1032.1.p1	CFAC1_300052100.1-p1	419
CbWHA1_1033.1.p1	CFAC1_300052200.1-p1	961
CbWHA1_1035.1.p1	CFAC1_300052600.1-p1	654
CbWHA1_1036.1.p1	CFAC1_300052700.1-p1	488
CbWHA1_1037.1.p1	CFAC1_300052800.1-p1	628
CbWHA1_1039.1.p1	CFAC1_300053000.1-p1	516
CbWHA1_1040.1.p1	CFAC1_300053100.1-p1	451
CbWHA1_1042.1.p1	CFAC1_300053900.1-p1	917
CbWHA1_1043.1.p1	CFAC1_300053400.1-p1	2222
CbWHA1_1045.1.p1	CFAC1_300053600.1-p1	1034
CbWHA1_1046.1.p1	CFAC1_300053700.1-p1	875
CbWHA1_1047.1.p1	CFAC1_300053800.1-p1	1400
CbWHA1_1048.1.p1	CFAC1_300054000.1-p1	1302
CbWHA1_105.1.p1	CFAC1_290027600.1-p1	302
CbWHA1_1050.1.p1	CFAC1_300054100.1-p1	1167
CbWHA1_1051.1.p1	CFAC1_300054200.1-p1	209
CbWHA1_1052.1.p1	CFAC1_300054300.1-p1	754
CbWHA1_1053.1.p1	CFAC1_300054300.1-p1	753
CbWHA1_1054.1.p1	CFAC1_300054400.1-p1	889
CbWHA1_1055.1.p1	CFAC1_300054500.1-p1	600
CbWHA1_1056.1.p1	CFAC1_300054800.1-p1	704
CbWHA1_1057.1.p1	CFAC1_300054900.1-p1	1001
CbWHA1_1059.1.p1	CFAC1_300055100.1-p1	498
CbWHA1_106.1.p1	CFAC1_290027900.1-p1	881
CbWHA1_1060.1.p1	CFAC1_300055300.1-p1	644
CbWHA1_1061.1.p1	CFAC1_300055400.1-p1	677
CbWHA1_1062.1.p1	CFAC1_300055600.1-p1	410
CbWHA1_1063.1.p1	CFAC1_300055800.1-p1	967
CbWHA1_1064.1.p1	CFAC1_300056000.1-p1	1299
CbWHA1_1065.1.p1	CFAC1_300056200.1-p1	356
CbWHA1_1066.1.p1	CFAC1_300056300.1-p1	875
CbWHA1_1067.1.p1	CFAC1_300056400.1-p1	896
CbWHA1_1068.1.p1	CFAC1_300056500.1-p1	756
CbWHA1_1069.1.p1	CFAC1_290058300.1-p1	796
CbWHA1_107.1.p1	CFAC1_290028100.1-p1	1388
CbWHA1_1070.1.p1	CFAC1_300056700.1-p1	1358
CbWHA1_1071.1.p1	CFAC1_300056800.1-p1	320
CbWHA1_1072.1.p1	CFAC1_300057100.1-p1	724
CbWHA1_1073.1.p1	CFAC1_300058400.1-p1	1095
